MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,OTYPE,SP_TYPE,SP_QUAL,SP_BIBCODE,FLUX_V,SCRIPT_NUMBER_ID,HAS_COMPANION,IS_COMPANION,COMPANION_NAME,DIST,ABS_MAG_V,X,Y,Z
* BUG 5A,256.84761416666663,-5.973672777777778,14.0,14.0,0.1629,0.1203,90.0,A,O,2020yCat.1350....0G,83.5818,Low-Mass*,M9Ve,C,2002ApJ...575..484G,,0.0,False,False,,11.964327162133383,,8.2366331024995,-7.875425081913356,3.6442666418008076
* BUG 6A,330.0084729166666,-30.642553055555556,14.0,14.0,0.2161,0.1958,90.0,A,O,2020yCat.1350....0G,25.6347,Low-Mass*,M9,D,2008AJ....136.1290R,,0.0,False,False,,39.009623674160416,,-27.635680312505432,-3.9295482878692045,27.250294734514714
* JNN 21A,43.71862833333333,-7.157104722222223,14.0,14.0,0.0319,0.0284,90.0,A,O,2020yCat.1350....0G,21.5953,Low-Mass*,M3,D,2006AJ....132..866R,14.5,0.0,False,False,,46.306372219881176,11.171796208030017,28.693491944121593,-7.745918534723786,-35.510060184013135
1 Gem,91.03006416666666,23.263344444444446,9.0,9.0,13.08,8.43,90.0,A,O,2007A&A...474..653V,21.03,SB*,G5III,D,1998A&A...338..623M,4.150000095367432,0.0,False,False,,47.551117451260104,0.7641964587990375,13.948214336411779,-1.0638326053849907,-45.446939917631084
1 Hya,126.14589208333332,-3.7512422222222224,14.0,14.0,0.045,0.032,90.0,A,O,2020yCat.1350....0G,36.9674,SB*,F6V,C,2009ApJS..180..117A,5.610000133514404,0.0,True,False,1 Hya C,27.050861028906553,3.449094667234632,-19.648997248878338,-10.28413624946733,15.488787270834955
1 Peg,320.52166416666665,19.80451027777778,14.0,14.0,0.1359,0.0753,90.0,A,O,2020yCat.1350....0G,20.8482,HighPM*,K1III,C,1989ApJS...71..245K,4.090000152587891,0.0,False,False,,47.96577162536814,0.6853429758002942,27.62035398211697,2.192492645683496,39.15385382715411
10 Ari B,30.913782499999993,25.93577722222222,14.0,14.0,0.3119,0.3924,90.0,A,O,2018yCat.1345....0G,22.8091,HighPM*,F9V,C,1976AJ.....81..245E,7.800000190734863,0.0,False,False,,43.842150720545746,4.590540936989878,26.69058665186219,-14.655525535216562,31.543023559403764
10 CVn,191.24752041666662,39.27891611111111,14.0,14.0,0.0197,0.0174,90.0,A,O,2020yCat.1350....0G,56.9588,HighPM*,F9V_Fe-0.3,C,2003AJ....126.2048G,5.949999809265137,0.0,False,False,,17.556549646411092,4.7278039646152425,0.146293028934118,-0.060071452210375485,17.555837355626533
10 Ser,232.1593208333333,1.8420794444444446,14.0,14.0,0.0719,0.0778,90.0,A,O,2020yCat.1350....0G,24.9485,HighPM*,A6III,C,1995ApJS...99..135A,5.170000076293945,0.0,False,False,,40.082570094394455,2.1552222727230417,-10.20052287994644,3.3637743919077217,38.616664539911774
10 Tau,54.21826541666666,0.4016644444444445,14.0,14.0,0.1306,0.1093,90.0,A,O,2020yCat.1350....0G,71.837,HighPM*,F9IV-V,B,1989ApJS...71..245K,4.300000190734863,0.0,False,False,,13.920403134874787,3.581741127610563,-8.823146375664685,-9.29043814838235,5.442193535892387
