MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,OTYPE,SP_TYPE,SP_QUAL,SP_BIBCODE,FLUX_V,SCRIPT_NUMBER_ID,HAS_COMPANION,IS_COMPANION,COMPANION_NAME,DIST,ABS_MAG_V,X,Y,Z
LP 397-34,323.09157958333327,24.561615555555555,14.0,14.0,0.0392,0.0303,90.0,A,O,2020yCat.1350....0G,48.734,HighPM*,M4V,C,2014AJ....147...20N,,0.0,True,True,LP 397-34 B,20.51955513604465,,-15.211612457692697,8.161897053074549,-11.092449049383001
LP 397-34 B,323.09191,24.561668333333333,14.0,14.0,0.034,0.0258,90.0,A,O,2020yCat.1350....0G,48.5947,HighPM*,M4V,C,2014AJ....147...20N,,0.0,False,True,,20.578375831109152,,-15.25843871730298,8.18053006278325,-11.123332578350169
LP 399-193 B,333.9784287499999,23.35075888888889,14.0,14.0,0.0528,0.0887,90.0,A,O,2020yCat.1350....0G,43.9066,HighPM*,M6V,C,2014AJ....147...20N,,0.0,False,True,,22.775619155206737,,-2.7004092373880466,-3.9371251007968784,-22.269613014022596
LP 469-118 B,32.05082958333333,15.145116111111111,14.0,14.0,0.0202,0.0182,90.0,A,O,2020yCat.1350....0G,38.2272,HighPM*,M4Ve,C,1988ApJ...331..958F,14.010000228881836,0.0,False,True,,26.159383894190523,11.921862672536632,-17.81269397909052,-13.12174382029576,13.95855071436275
LP 486-16 B,132.58016333333333,10.945157777777778,14.0,14.0,0.0967,0.043,90.0,A,O,2020yCat.1350....0G,25.461,HighPM*,M6e,D,2011AJ....141...71F,,0.0,False,True,,39.27575507639135,,-1.5955112033553567,-1.1713253606584881,-39.22584961119551
LP 920-61 B,263.27404916666666,-30.585934166666664,14.0,14.0,0.0253,0.0182,90.0,A,O,2020yCat.1350....0G,54.6146,HighPM*,M2.5e,D,2004AJ....128..463R,,0.0,False,True,,18.310122201755572,,10.05913832543643,-7.177266731991201,13.511519287290035
LP 97-674 B,213.92700791666664,59.45839388888889,14.0,14.0,0.015,0.0142,90.0,A,O,2020yCat.1350....0G,35.1883,HighPM*,M3V,C,1986AJ.....92..139S,,0.0,False,True,,28.41853684321209,,-26.433270817574467,-8.139348791006075,6.530423527774985
LSPM J1832+2030B,278.01220666666666,20.51630611111111,14.0,14.0,0.0234,0.0272,90.0,A,O,2020yCat.1350....0G,31.8774,HighPM*,M4.9V,C,2009ApJ...699..649S,,0.0,False,True,,31.370187029055067,,-0.056328824198467416,-3.0049457852586157,31.225882887904316
MCC 561C,150.14883333333333,27.28491166666667,14.0,14.0,0.0678,0.0641,90.0,A,O,2020yCat.1350....0G,27.7228,HighPM*,M6.5,D,2014ApJ...792..119D,,0.0,False,True,,36.071392500036076,,-15.798523654270022,11.950735946703794,30.14518066904379
MCC 870B,358.3984891666666,12.104613333333333,14.0,14.0,0.0254,0.0196,90.0,A,O,2020yCat.1350....0G,26.7919,SB*,M2.5Ve,C,2013AJ....145..102L,,0.0,False,True,,37.32471381275685,,32.3188784404715,8.491248314957932,-16.62898251872171
PM J03380+2952B,54.52461708333333,29.878875833333336,14.0,14.0,0.0658,0.0484,90.0,A,O,2020yCat.1350....0G,28.8065,Low-Mass*,M6,D,2019MNRAS.485.2167G,,0.0,False,True,,34.71438737784875,,-0.5128769005348138,-1.0529728713982254,-34.69462345142748
PM J15597+4403B,239.9449883333333,44.066995000000006,14.0,14.0,0.0932,0.0805,90.0,A,O,2020yCat.1350....0G,23.5542,Low-Mass*,M8,D,2015ApJS..216....7B,,0.0,False,True,,42.45527336950523,,15.959800980689394,39.1769778790302,3.5915726085079123
RX J1014.5+0606B,153.6328170833333,6.111370555555555,14.0,14.0,0.0297,0.0284,90.0,A,O,2020yCat.1350....0G,31.0978,HighPM*,M4.5,D,2012ApJ...758...56S,,0.0,False,True,,32.156615580523386,,-30.218749845679955,9.520969626488867,-5.497837823113138
RX J1206.9+7007B,181.73637041666666,70.13096805555556,14.0,14.0,0.0185,0.0183,90.0,A,O,2020yCat.1350....0G,57.4973,HighPM*,M4.4V,C,2009ApJ...699..649S,,0.0,False,True,,17.392121021334916,,8.144104741904172,-4.198625274169816,14.782793287493277
Ross 110B,172.14440999999997,56.7196725,14.0,14.0,0.0101,0.0106,90.0,A,O,2020yCat.1350....0G,46.3985,HighPM*,M3.5,D,1985ApJS...59..197B,,0.0,False,True,,21.552420875674862,,-16.994465948827497,12.737482690709657,3.667629673268583
Ross 165B,296.4398191666666,27.1256425,14.0,14.0,0.019,0.0253,90.0,A,O,2020yCat.1350....0G,93.8749,HighPM*,M4V,C,2014AJ....147...20N,,0.0,False,True,,10.652474729666823,,-1.861562497809398,-3.94716974689258,9.717492162186488
Ross 370B,49.05796666666666,58.16874277777777,14.0,14.0,0.0138,0.0132,90.0,A,O,2020yCat.1350....0G,73.5769,HighPM*,M2.0V,C,2015A&A...577A.128A,,0.0,False,True,,13.591222245025273,,-0.23789707109232047,0.6257932644608608,13.574723197450139
Ross 45B,83.56280541666665,10.31917,14.0,14.0,0.017,0.0127,90.0,A,O,2020yCat.1350....0G,45.1345,HighPM*,M4.5V,C,2015A&A...577A.128A,,0.0,False,True,,22.156000398808008,,4.238936911434705,-13.205850943090303,-17.277883794080164
Ross 486B,202.08962249999996,-2.3588644444444444,14.0,14.0,0.2739,0.2587,90.0,A,O,2020yCat.1350....0G,75.595,HighPM*,M4,D,1985ApJS...59..197B,13.6899995803833,0.0,False,True,,13.228388120907468,13.08246493723982,-4.846934461104294,-8.029294253928864,-9.328875194306672
Ross 513B,233.8347095833333,17.717894166666664,14.0,14.0,0.0178,0.0169,90.0,A,O,2020yCat.1350....0G,66.9291,HighPM*,M4.5V,C,2002ApJ...564..466G,,0.0,False,True,,14.941184029069566,,1.3486952025211325,6.207513791026604,-13.523563656648882
Ross 773B,319.3443879166666,20.899609722222223,14.0,14.0,0.018,0.0145,90.0,A,O,2020yCat.1350....0G,32.7539,HighPM*,M4V,C,2014AJ....147...20N,,0.0,False,True,,30.53071542625458,,-6.410173045290449,12.534322673575193,27.091050571786063
Ross 948B,187.22063041666664,-10.664115555555556,14.0,14.0,0.0404,0.0284,90.0,A,O,2020yCat.1350....0G,51.5053,HighPM*,M2V,C,1995AJ....110.1838R,10.960000038146973,0.0,False,True,,19.41547763045745,9.519259643772548,-1.842207131225779,6.043707051159217,18.358666879275926
SCR J0242-5359B,40.50857833333333,-53.987407777777776,14.0,14.0,0.0163,0.0175,90.0,A,O,2020yCat.1350....0G,23.6873,Eruptive*,M4.3,D,2014AJ....147..146K,,0.0,False,True,,42.216715286250434,,33.37563212997193,-11.511329423569244,23.147516592221834
SLW J1341-0222B,205.26149666666666,-2.3633633333333335,14.0,14.0,0.0339,0.0255,90.0,A,O,2020yCat.1350....0G,21.1055,HighPM*,M4.5,D,2010ApJ...720.1727L,,0.0,False,True,,47.38101442751889,,16.555488044950486,29.4021988663505,-33.26239687090863
SLW J1526+2718B,231.70544999999996,27.30918,14.0,14.0,0.0149,0.0187,90.0,A,O,2020yCat.1350....0G,22.1471,HighPM*,M4.5,D,2010ApJ...720.1727L,,0.0,False,True,,45.15263849443042,,-18.41075349693966,17.938484971099918,37.121633525819774
StKM 1-2018B,338.3441733333333,-9.6148775,14.0,14.0,0.0514,0.0531,90.0,A,O,2020yCat.1350....0G,38.3402,HighPM*,M2.5V,C,2009ApJ...699..649S,,0.0,False,True,,26.08228439079608,,-14.943419486545144,20.80121248345682,4.928420873828423
StKM 1-689B,124.10125624999999,26.26092111111111,14.0,14.0,0.0332,0.0254,90.0,A,O,2020yCat.1350....0G,26.1158,Low-Mass*,dM6,D,2022A&A...660A..38W,,0.0,False,True,,38.29099625514056,,0.13688187015586198,-16.399662979127452,34.60105073167357
StKM 1-950B,172.6774708333333,54.94869138888888,14.0,14.0,0.0335,0.0403,90.0,A,O,2020yCat.1350....0G,24.7312,Low-Mass*,dM7,D,2022A&A...660A..38W,,0.0,False,True,,40.434754480170795,,1.1725743518581133,-0.12965443837434054,-40.41754110516456
TWA 30B,173.0759120833333,-30.308789722222222,14.0,14.0,0.1691,0.1325,90.0,A,O,2020yCat.1350....0G,21.4246,Low-Mass*,M4,D,2010AJ....140.1486L,,0.0,False,True,,46.67531715878009,,-20.012724839240562,-5.935371797774746,41.74742432778021
TWA 3B,167.61600249999998,-37.53131888888889,14.0,14.0,0.0439,0.0456,90.0,A,O,2020yCat.1350....0G,26.9323,TTauri*,M4Ve,C,2006A&A...460..695T,13.699999809265137,0.0,False,True,,37.13013741863858,10.851367026500082,-16.226249763291616,-32.81621162376269,6.200982019864759
UPM J1718-2245B,259.62129749999997,-22.7745975,14.0,14.0,0.0164,0.0097,90.0,A,O,2020yCat.1350....0G,21.0708,HighPM*,M4.5,D,2016ApJS..224...36K,,0.0,False,True,,47.45904284602389,,14.318838621077491,-30.42271538993775,33.493133575512395
VB 24 B,235.01593416666663,43.493071111111114,14.0,14.0,0.0192,0.019,90.0,A,O,2020yCat.1350....0G,79.839,HighPM*,M4,D,2014MNRAS.443.2561G,13.800000190734863,0.0,False,True,,12.525206979045329,13.311075634160387,-9.102879693743313,6.274698926493845,-5.886131542109677
Wolf 1225 B,335.8709099999999,32.45896194444445,14.0,14.0,0.03,0.0365,90.0,A,O,2020yCat.1350....0G,65.3811,HighPM*,M3.4,D,2018MNRAS.475.1960F,11.829999923706055,0.0,False,True,,15.294939975008068,10.907261039029317,-7.4036177280108015,2.1249665035260183,13.213862067369872
Wolf 1561 B,334.32790958333334,-8.805369166666667,14.0,14.0,0.1239,0.1061,90.0,A,O,2020yCat.1350....0G,89.734,HighPM*,M5V,C,1985AJ.....90..817B,,0.0,False,True,,11.144047963982437,,-2.25988906670323,-8.787799754966253,-6.469720387802813
Wolf 468 B,195.52519624999996,12.37262138888889,14.0,14.0,0.0313,0.0233,90.0,A,O,2020yCat.1350....0G,33.0036,HighPM*,M1.6V,C,2009ApJ...699..649S,,0.0,False,True,,30.299724878498104,,21.826930687627502,20.189704612655785,-5.8338882508912855
alf Cen B,219.89609624999997,-60.8375275,9.0,9.0,180.22,171.39,90.0,A,O,2007A&A...474..653V,742.12,HighPM*,K1V,C,2006A&A...460..695T,1.3300000429153442,0.0,False,True,,1.3474909718104888,5.682370722437868,-0.5537268296676136,0.008522252561838802,1.2284322889065973
alf Cir B,220.61934124999996,-64.97811555555556,14.0,14.0,0.012,0.0183,90.0,A,O,2020yCat.1350....0G,60.8225,HighPM*,K5V,E,,8.470000267028809,0.0,False,True,,16.441284064285423,7.3903216023905545,-6.798142069997435,-5.817895420365477,-13.793229460729899
alf CrB,233.67195166666664,26.714685,14.0,14.0,0.2579,0.5589,90.0,A,O,2020yCat.1350....0G,42.2408,SB*,A1IV,C,2003AJ....126.2048G,2.240000009536743,0.0,False,True,,23.67379405693074,0.3686606831474657,-0.09707572327089291,-0.24539324726789474,23.672323154015025
alf For B,48.017495833333335,-28.986947222222224,14.0,14.0,0.0299,0.0548,90.0,A,O,2020yCat.1350....0G,71.0089,HighPM*,G7V,C,1984ApJS...55..657C,7.190000057220459,0.0,False,True,,14.082741740824037,6.446563982411073,6.676978887800646,8.304443570151879,9.207485262588
alf Men B,92.55734999999999,-74.75333388888889,14.0,14.0,0.0734,0.1157,90.0,A,O,2020yCat.1350....0G,97.8666,HighPM*,M3.5,,2007A&A...474..273E,,0.0,False,True,,10.217990611710224,,-0.9745813121292679,-8.107505038568515,6.1421401365186075
b Her B,271.75626708333334,30.562211666666666,14.0,14.0,0.5817,0.8637,90.0,A,O,2018yCat.1345....0G,53.9769,HighPM*,K4V,C,1976AJ.....81..245E,8.960000038146973,0.0,False,True,,18.526443719442945,7.6210397308802635,-0.10352025461424717,12.17491065408206,-13.963880227633389
bet Aql B,298.82844416666666,6.410412777777778,14.0,14.0,0.015,0.0125,90.0,A,O,2020yCat.1350....0G,73.3889,HighPM*,M3,D,1985ApJS...59..197B,11.399999618530273,0.0,False,True,,13.626038815134168,10.728151509848264,-12.56602063751721,-4.977433953097224,1.7289333045520894
bet Ser B,236.5381820833333,15.420921666666667,14.0,14.0,0.0129,0.0143,90.0,A,O,2020yCat.1350....0G,21.135,HighPM*,K3V,C,1952ApJ...115..157W,,0.0,False,True,,47.31488052992666,,27.537245452291415,36.06876489022179,13.395604941748324
del And B,9.823781666666667,30.86485805555556,14.0,14.0,0.0275,0.0188,90.0,A,O,2020yCat.1350....0G,30.9199,HighPM*,M2,E,1928PASP...40..345L,12.4399995803833,0.0,False,True,,32.3416311178238,9.89118998373013,-25.389551469282765,-10.704725604827786,-16.934008068835176
del Crv B,187.46204499999996,-16.52089111111111,14.0,14.0,0.0195,0.0158,90.0,A,O,2020yCat.1350....0G,37.3513,HighPM*,K1,D,1985ApJS...59..197B,8.430000305175781,0.0,False,True,,26.77282986134351,6.291528914647903,-9.418694516178542,15.810045101501263,19.445181569835004
